"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.067319360E-1,-4.018011093E-1,1.601693630E-1,4.887683392E0,4.906785841E0
1.117790710E-1,-2.870309353E-1,1.862781048E-1,4.492407322E0,4.505420051E0
1.168262070E-1,-1.046532393E-1,2.561376095E-1,4.163814545E0,4.172997764E0
1.218733420E-1,9.786295891E-2,3.202555180E-1,3.828145981E0,3.842764943E0
1.269204780E-1,2.731516361E-1,3.973267078E-1,3.557471275E0,3.589997521E0
1.319676130E-1,4.443385005E-1,5.127308369E-1,3.395953178E0,3.463066214E0
1.370147480E-1,5.920400023E-1,6.349453926E-1,3.400951862E0,3.510005781E0
1.420618840E-1,7.363532782E-1,7.204623222E-1,3.450620174E0,3.601119506E0
1.471090190E-1,7.834127545E-1,7.725634575E-1,3.518314838E0,3.686343601E0
1.521561550E-1,2.606326938E-1,6.043086052E-1,3.697268009E0,3.755384005E0
1.572032900E-1,2.251914144E-1,5.438835621E-1,3.585583687E0,3.633583751E0
1.622504260E-1,3.142135739E-1,5.347735882E-1,3.458190918E0,3.513374074E0
1.672975610E-1,2.869797051E-1,6.555190086E-1,3.015206337E0,3.098956563E0
1.723446960E-1,1.932668239E-1,8.593795300E-1,2.369133949E0,2.527584007E0
1.773918320E-1,1.540074795E-1,1.145525455E0,1.930892944E0,2.250398728E0
1.824389670E-1,-4.733515531E-2,1.310160398E0,1.972801208E0,2.368692782E0
1.874861030E-1,-3.803949058E-1,1.278680086E0,2.062291145E0,2.456169338E0
1.925332380E-1,-5.646377206E-1,1.069052458E0,2.044098854E0,2.374874531E0
1.975803730E-1,-3.643155098E-1,3.120775223E-1,1.260882378E0,1.349052460E0
2.026275090E-1,-3.762903214E-1,-1.967062950E-1,1.326788902E0,1.393074500E0
2.076746440E-1,-4.726853669E-1,-7.324116230E-1,1.362120628E0,1.617167539E0
2.127217800E-1,-2.672380507E-1,-1.141191006E0,1.217938423E0,1.690297929E0
2.177689150E-1,1.518518329E-1,-1.440148592E0,8.643560410E-1,1.686475114E0
2.228160510E-1,8.786139488E-1,-1.436247110E0,1.078362465E0,1.999408372E0
2.278631860E-1,1.804485321E0,-8.474190235E-1,1.658021927E0,2.592937135E0
2.329103210E-1,2.694809914E0,-5.681276321E-2,2.285668373E0,3.534049812E0
2.379574570E-1,2.939589024E0,-1.937167645E-1,3.035142899E0,4.229752029E0
2.430045920E-1,3.183160782E0,-3.488106728E-1,2.577944756E0,4.110958600E0
2.480517280E-1,3.348979950E0,-2.997943163E-1,2.600834846E0,4.250868763E0
2.530988630E-1,3.521410465E0,-2.246048450E-1,2.482050896E0,4.314088044E0
2.581459980E-1,3.693687916E0,8.662223816E-3,2.675380707E0,4.560818718E0
2.631931340E-1,3.511415720E0,3.353712559E-1,2.928968430E0,4.584906793E0
2.682400090E-1,3.247382164E0,6.937942505E-1,3.209980965E0,4.618529980E0
2.731881860E-1,2.886933088E0,9.874697924E-1,3.320200920E0,4.509236454E0
2.781364150E-1,2.498120785E0,1.239919543E0,3.422706604E0,4.415079662E0
2.830845920E-1,1.986289620E0,1.416859746E0,3.511383057E0,4.275821438E0
2.880327690E-1,1.475020170E0,1.529853225E0,3.537629128E0,4.126857792E0
2.929809980E-1,9.753969312E-1,1.542057037E0,3.538442612E0,3.981195197E0
2.979291760E-1,6.331290603E-1,1.711282969E0,3.490998268E0,3.939087548E0
3.028773530E-1,5.394216776E-1,1.885636210E0,3.589014053E0,4.089941508E0
3.078255300E-1,1.191417575E-1,1.576269031E0,3.650785446E0,3.978322912E0
3.127737070E-1,-4.292133451E-1,7.722812891E-1,3.712092400E0,3.815792509E0
3.177219360E-1,-8.082251549E-1,-2.934284210E-1,3.822171211E0,3.917693315E0
3.226701130E-1,-1.129940510E0,-1.386188030E0,3.831639290E0,4.228444449E0
3.276182900E-1,-1.550945282E0,-2.734131813E0,3.901817322E0,5.010497625E0
3.325664670E-1,-2.125854254E0,-4.089694023E0,4.102056503E0,6.170228607E0
3.375146960E-1,-2.758531094E0,-5.443059921E0,4.380433083E0,7.511630255E0
3.424628730E-1,-3.258635044E0,-6.506271362E0,4.412186623E0,8.509856649E0
3.474110510E-1,-3.614622593E0,-7.274674416E0,4.181717873E0,9.136364086E0
3.523592280E-1,-3.273481131E0,-6.480639935E0,3.825421333E0,8.206596192E0
3.573074570E-1,-2.395965815E0,-4.636146545E0,3.662742615E0,6.375750186E0
3.622556340E-1,-1.553219557E0,-3.590003490E0,3.279507637E0,5.104486888E0
3.672038110E-1,-1.204949856E0,-3.751226902E0,2.410851479E0,4.619070499E0
3.721519880E-1,-8.793812990E-1,-3.836506367E0,1.489211082E0,4.208306336E0
3.771001650E-1,-1.042695045E-1,-3.545022964E0,8.939447403E-1,3.657485085E0
3.820483940E-1,9.239265323E-1,-3.091780424E0,4.240694046E-1,3.254624600E0
3.869965710E-1,1.915235996E0,-2.651542664E0,-2.350702286E-1,3.279339176E0
3.919447480E-1,2.705499172E0,-2.192683935E0,-5.528373718E-1,3.526076824E0
3.968929780E-1,2.590888023E0,-2.166323900E0,-8.040094376E-1,3.471612185E0
4.018411550E-1,2.501960039E0,-2.117374182E0,-1.044977188E0,3.440211445E0
4.067893320E-1,2.607041836E0,-2.055460453E0,-1.213127136E0,3.534580917E0
4.117375090E-1,2.841342688E0,-2.094446659E0,-1.088239670E0,3.693805714E0
4.166856860E-1,2.991331816E0,-2.337640285E0,-7.390956879E-1,3.867672501E0
4.216339150E-1,2.847225666E0,-2.697172642E0,-3.323450089E-1,3.935973508E0
4.265820920E-1,2.420304537E0,-2.990902901E0,8.741855621E-2,3.848508311E0
4.315302690E-1,1.615616441E0,-3.212583780E0,1.192245483E-1,3.597933507E0
4.364784460E-1,6.652836800E-1,-3.326807499E0,1.325464249E-1,3.395264211E0
4.414266760E-1,-2.513217926E-1,-3.274473667E0,3.376178741E-1,3.301412769E0
4.463748530E-1,-1.078644276E0,-3.171712160E0,5.131158829E-1,3.389176804E0
4.513230300E-1,-1.689538240E0,-3.029736996E0,1.664972305E-1,3.472976685E0
4.562712070E-1,-2.031300545E0,-2.992322683E0,-4.577980042E-1,3.645511755E0
4.612194360E-1,-2.048064470E0,-2.937515736E0,-9.215183258E-1,3.697669914E0
4.661676130E-1,-1.990149498E0,-2.893084764E0,-1.286505699E0,3.739750178E0
4.711157900E-1,-1.953304529E0,-2.810485840E0,-1.676425457E0,3.811119462E0
4.760639670E-1,-1.896005630E0,-2.672935963E0,-2.183200836E0,3.937739187E0
4.810121440E-1,-1.766806841E0,-2.539544821E0,-2.687816620E0,4.098201129E0
4.859603730E-1,-1.588810444E0,-2.367112160E0,-3.234013081E0,4.311192319E0
4.909085510E-1,-1.384038448E0,-2.294715166E0,-3.976609707E0,4.795279437E0
4.958567280E-1,-1.149886847E0,-2.326087952E0,-4.428598881E0,5.132778289E0
5.008049570E-1,-8.176751137E-1,-2.449178934E0,-4.448526382E0,5.143584063E0
5.057531340E-1,-4.649641514E-1,-2.426164389E0,-4.327135563E0,4.982626565E0
5.107013110E-1,-1.523292065E-1,-2.306866407E0,-3.964268208E0,4.589145806E0
5.156494880E-1,8.111405373E-2,-2.138718367E0,-3.362346172E0,3.985732997E0
5.205976650E-1,3.506948948E-1,-1.921894789E0,-2.753254890E0,3.375956010E0
5.255458940E-1,6.082673073E-1,-1.696741343E0,-2.168015480E0,2.819434593E0
5.304940710E-1,8.440625668E-1,-1.511123896E0,-1.693922997E0,2.421840656E0
5.354422480E-1,1.017902613E0,-1.342672586E0,-1.380023479E0,2.177925666E0
5.403904260E-1,1.256532192E0,-1.121584415E0,-1.130290508E0,2.028393794E0
5.453386030E-1,1.397470236E0,-9.203486443E-1,-8.993558884E-1,1.899685685E0
5.502868320E-1,1.510707259E0,-6.856842041E-1,-6.284456253E-1,1.774075296E0
5.552350090E-1,1.568153977E0,-4.659171104E-1,-4.259366989E-1,1.690446013E0
5.601831860E-1,1.548381448E0,-2.420954704E-1,-3.475236893E-1,1.605262608E0
5.651314150E-1,1.457112312E0,-1.257176399E-1,-3.921165466E-1,1.514178524E0
5.700795920E-1,1.355578423E0,-6.560277939E-2,-5.402784348E-1,1.460752331E0
5.750277690E-1,1.273940086E0,-3.956270218E-2,-7.710742950E-1,1.489645636E0
5.799759460E-1,1.179172039E0,-9.892106056E-2,-1.042053223E0,1.576739355E0
5.849241230E-1,1.074872971E0,-3.560087681E-1,-1.332325935E0,1.748481211E0
5.898723530E-1,9.244201183E-1,-7.923710346E-1,-1.606557369E0,2.015795375E0
5.948205300E-1,8.804442883E-1,-1.227991343E0,-1.774682045E0,2.330802704E0
5.997687070E-1,9.151682854E-1,-1.624193430E0,-1.927350044E0,2.681457716E0
6.047168840E-1,9.939677715E-1,-1.997280002E0,-2.080741405E0,3.050669456E0
6.096650610E-1,1.128278732E0,-2.304719448E0,-2.221762180E0,3.394255709E0
6.146132900E-1,1.314556122E0,-2.503928185E0,-2.233254433E0,3.603489907E0
6.195614670E-1,1.410135269E0,-2.649263859E0,-2.282467365E0,3.770508950E0
6.245096440E-1,1.522302151E0,-2.574937820E0,-2.419737339E0,3.847445569E0
6.294578210E-1,1.459988594E0,-2.416112900E0,-2.659643650E0,3.878514224E0
6.344060510E-1,1.317014217E0,-2.235442638E0,-2.869268417E0,3.868388746E0
6.393542280E-1,1.168457508E0,-2.083031654E0,-3.152771950E0,3.955285677E0
6.443024050E-1,9.223594666E-1,-1.941329837E0,-3.388747692E0,4.012869228E0
6.492505820E-1,5.926017761E-1,-1.849864006E0,-3.552412987E0,4.048803741E0
6.541988110E-1,3.728346825E-1,-1.828359008E0,-3.792344093E0,4.226556055E0
6.591469880E-1,2.582049370E-1,-1.824458599E0,-4.092342854E0,4.488049576E0
6.640951650E-1,2.744646072E-1,-1.878844500E0,-4.284580708E0,4.686471947E0
6.690433420E-1,5.030288696E-1,-1.924800396E0,-4.496570110E0,4.917015087E0
6.739915190E-1,8.158302307E-1,-1.900599241E0,-4.544531345E0,4.993057339E0
6.789397480E-1,1.105351925E0,-1.621265888E0,-3.831392288E0,4.304633878E0
6.838879260E-1,8.253073692E-1,-1.655001163E0,-2.763364792E0,3.325108431E0
6.888361030E-1,2.442088127E-1,-1.998104095E0,-1.745378494E0,2.664283020E0
6.937842800E-1,-3.041405678E-1,-2.438630819E0,-1.080471039E0,2.684555722E0
6.987325090E-1,-1.158612728E0,-2.895145178E0,-7.599000931E-1,3.209625711E0
7.036806860E-1,-1.987215996E0,-3.198291779E0,-7.027087212E-1,3.830391267E0
7.086288630E-1,-2.788114548E0,-3.361717701E0,-7.955040932E-1,4.439319249E0
7.135770400E-1,-3.502323151E0,-3.404104233E0,-7.558069229E-1,4.942209747E0
7.185252170E-1,-3.276825905E0,-3.006753922E0,-6.632103920E-1,4.496443615E0
7.234734460E-1,-2.149682999E0,-2.230623484E0,-5.364127159E-1,3.143971489E0
7.284216230E-1,-1.235766411E0,-1.703256369E0,-6.291551590E-1,2.196369070E0
7.333698010E-1,-5.141787529E-1,-1.521994591E0,-7.790403366E-1,1.785427448E0
7.383179780E-1,-7.019519806E-3,-1.615590096E0,-8.911390305E-1,1.845077072E0
7.432662070E-1,4.629936218E-1,-1.787334681E0,-9.261150360E-1,2.065579196E0
7.482143840E-1,8.055133820E-1,-1.918306112E0,-8.567218781E-1,2.250049450E0
7.531625610E-1,1.231925964E0,-1.987843275E0,-7.491722107E-1,2.455691648E0
7.581107380E-1,1.863901854E0,-2.011101007E0,-6.099424362E-1,2.809036696E0
7.630589150E-1,2.696180105E0,-1.959612370E0,-5.526065826E-1,3.378585774E0
7.680071440E-1,3.454595566E0,-1.961411238E0,-6.306872368E-1,4.022329046E0
7.729553210E-1,4.143426895E0,-1.936476707E0,-8.286795616E-1,4.648078989E0
7.779034980E-1,4.448321342E0,-2.030694008E0,-6.730794907E-1,4.936022378E0
7.828516760E-1,4.479608536E0,-2.404757738E0,-9.598870277E-1,5.174083061E0
7.877999050E-1,4.318016052E0,-2.683888912E0,-1.186303139E0,5.220712352E0
7.927480820E-1,3.735843420E0,-2.829851627E0,-1.147038937E0,4.824964727E0
7.976962590E-1,3.129877329E0,-2.818262339E0,-8.954963684E-1,4.305885327E0
8.026444360E-1,2.803086042E0,-2.717023611E0,-8.216691017E-1,3.989316831E0
8.075926130E-1,2.821631908E0,-2.661723614E0,-7.989625931E-1,3.960393976E0
8.125408420E-1,2.825332880E0,-2.499938965E0,-8.254408836E-1,3.861807008E0
8.174890190E-1,2.794384956E0,-2.373695374E0,-1.058560848E0,3.816224323E0
8.224371960E-1,2.781117439E0,-2.225417376E0,-1.356690884E0,3.811522906E0
8.273853730E-1,2.956494808E0,-2.101325750E0,-1.605338097E0,3.966552894E0
8.323336030E-1,3.429462671E0,-2.064388037E0,-1.623034000E0,4.319392497E0
8.372817800E-1,3.929580688E0,-2.171938896E0,-1.458180428E0,4.720721673E0
8.422299570E-1,4.339853287E0,-2.462715149E0,-1.233076096E0,5.140016451E0
8.471781340E-1,4.725280762E0,-2.770984411E0,-9.591422081E-1,5.561167742E0
8.521263110E-1,5.014258385E0,-2.995651960E0,-6.150040627E-1,5.873239976E0
8.570745400E-1,5.268690109E0,-3.134524584E0,-2.843136787E-1,6.137195948E0
8.620227170E-1,5.552322388E0,-3.311204433E0,1.232862473E-1,6.465876445E0
8.669708940E-1,5.625791550E0,-3.520550251E0,5.421519279E-1,6.658658524E0
8.719190710E-1,5.386628151E0,-3.722475052E0,9.827237129E-1,6.621051974E0
8.768673010E-1,4.849781036E0,-3.860279083E0,1.400723457E0,6.354853020E0
8.818154780E-1,4.361131668E0,-3.887745619E0,1.649673939E0,6.070869750E0
8.867636550E-1,4.041229248E0,-3.789558649E0,1.774777889E0,5.817398486E0
8.917118320E-1,3.881624222E0,-3.634094238E0,1.735367060E0,5.593312647E0
8.966600090E-1,3.864357471E0,-3.428978443E0,1.657439470E0,5.425703404E0
9.016082380E-1,3.793259144E0,-3.198940754E0,1.428357124E0,5.163549259E0
9.065564150E-1,3.701871395E0,-2.948890686E0,1.141049385E0,4.868449630E0
9.115045920E-1,3.535837650E0,-2.693182468E0,9.389305115E-1,4.542793216E0
9.164527690E-1,3.339392185E0,-2.437405825E0,9.212346077E-1,4.235700712E0
9.214009460E-1,3.420305252E0,-2.185089111E0,1.077237606E0,4.199231275E0
9.263491760E-1,3.492124557E0,-1.914898157E0,9.171719551E-1,4.086927119E0
9.312973530E-1,3.473667622E0,-1.783606410E0,3.531496525E-1,3.920756719E0
9.362455300E-1,3.222064495E0,-1.805322409E0,6.240367889E-2,3.693884518E0
9.411937070E-1,2.812791824E0,-1.932263136E0,-2.336313725E-1,3.420529534E0
9.461418840E-1,2.292419910E0,-2.131248713E0,-4.214655161E-1,3.158329195E0
9.510901130E-1,1.709724903E0,-2.171218395E0,-5.398723483E-1,2.815814397E0
9.560382900E-1,1.203733921E0,-2.000452757E0,-5.430067182E-1,2.397007067E0
9.609864670E-1,7.294845581E-1,-1.713065624E0,-4.629688859E-1,1.918614537E0
