"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.025995417E-1,-4.873646937E0,-1.001174297E0,1.958010328E-1,4.979269272E0
6.125665417E-1,-4.308716151E0,-4.192950636E-2,8.932171547E-1,4.400526086E0
6.225335417E-1,-3.646670128E0,-5.523452398E-1,2.177606020E0,4.283136265E0
6.324995417E-1,-2.543102022E0,-1.203264157E0,1.857129486E0,3.371074376E0
6.424665417E-1,3.150200589E0,9.162684868E-1,-5.040366551E0,6.014034142E0
6.524335417E-1,5.708695114E0,2.594173942E0,-6.647347473E0,9.138170866E0
6.624005417E-1,1.117162298E0,1.193538483E0,8.738143390E-1,1.853682068E0
6.723665417E-1,2.473019634E0,1.169060284E0,2.698718065E-1,2.748701302E0
6.823335417E-1,3.622566736E0,1.400748749E0,-1.091313220E0,4.034358853E0
6.923005417E-1,4.007276981E0,1.463590530E0,-2.250650023E0,4.823462612E0
7.022665417E-1,2.049494256E0,1.227162604E0,-1.146627295E-1,2.391548098E0
7.122335417E-1,1.111889791E0,1.078017236E0,1.202430198E0,1.960678058E0
7.222005417E-1,1.517121204E0,1.000839252E0,9.983395672E-1,2.073648439E0
7.321665417E-1,2.308220538E0,7.509337865E-1,1.748102303E0,2.991261484E0
7.421335417E-1,2.772239785E0,4.525452554E-1,3.613640084E0,4.576953713E0
7.521005417E-1,3.225441975E0,3.558805481E-1,3.728057815E0,4.942523847E0
7.620675417E-1,2.373363637E0,2.547778040E-1,3.320668852E0,4.089573121E0
7.720335417E-1,-2.435192644E-2,2.928270981E-1,1.835923389E0,1.859288954E0
7.820005417E-1,-2.318080552E0,7.538142711E-1,5.276457238E-1,2.494021534E0
7.919675417E-1,-3.240871900E0,1.305932054E0,9.646268606E-2,3.495427621E0
8.019335417E-1,-2.759383512E0,1.671108506E0,2.244332106E0,3.929863561E0
8.119005417E-1,-1.520154886E0,2.140615657E0,1.547338153E0,3.047517289E0
8.218675417E-1,-1.607599850E-1,1.577145212E0,-1.118926696E0,1.940419476E0
8.318335417E-1,2.768874420E0,1.864694613E-1,-1.168401741E0,3.011079382E0
8.418005417E-1,3.419019020E0,-7.364060868E-1,-1.237170845E0,3.709794695E0
8.517675417E-1,3.767694336E-1,-4.883031718E-1,-3.767501378E-1,7.227280679E-1
8.617345417E-1,-3.777916000E-1,-9.260267588E-1,5.682429421E-1,1.150283483E0
8.717005417E-1,-3.156558705E-1,-1.104497229E0,1.160576413E0,1.632939181E0
8.816675417E-1,-4.387684844E-1,-3.596036164E-1,1.196808100E0,1.324455425E0
8.916345417E-1,8.440572739E-2,4.643370429E-1,1.144627547E-1,4.856283954E-1
9.016005417E-1,6.580420681E-1,1.228646043E0,-5.937303704E-1,1.514960796E0
9.115675417E-1,1.235316400E0,1.632540564E0,-5.144204915E-1,2.110882219E0
9.215345417E-1,1.242904332E0,1.611911441E0,3.388777220E-1,2.063469840E0
9.315005417E-1,5.309761517E-2,9.951167281E-1,1.111106045E0,1.492525813E0
9.414675417E-1,-3.643201268E-1,2.661982933E-1,6.189844948E-1,7.659846545E-1
9.514345417E-1,-3.573055145E-1,2.182100482E-1,-6.140786809E-1,7.432196729E-1
9.614015417E-1,-2.683364008E-1,2.789073627E-1,-8.465131044E-1,9.307943795E-1
9.713675417E-1,-3.546258818E-1,1.142559095E-1,5.833147252E-1,6.921488261E-1
9.813345417E-1,7.770655780E-1,-4.759348489E-1,-7.569097871E-1,1.184591625E0
9.913015417E-1,1.667584096E0,-6.556917067E-1,-1.530158449E0,2.356300747E0
1.001267542E0,2.104820172E0,-7.786032495E-1,-2.181808999E0,3.129981067E0
1.011234542E0,1.874531384E0,-1.195327804E0,-3.147829835E0,3.853765580E0
1.021201542E0,1.538280378E0,-1.164605656E0,-3.537215806E0,4.029206934E0
1.031167542E0,1.260927497E0,-9.035138091E-1,-3.444389504E0,3.777577849E0
1.041134542E0,8.261473985E-1,-2.847656880E-1,-2.601826193E0,2.744651264E0
1.051101542E0,2.351011194E-1,3.934379451E-1,-1.673067908E0,1.734710978E0
1.061068542E0,3.604386354E-1,4.241511762E-1,-1.443617903E0,1.547208092E0
1.071034542E0,5.157392944E-1,-1.972031951E-1,-1.186871341E0,1.309022422E0
1.081001542E0,8.200138155E-1,-1.045237453E0,6.894218087E-2,1.330299596E0
1.090968542E0,8.870764820E-1,-1.643447229E0,1.739321539E0,2.552070315E0
1.100934542E0,7.181294449E-1,-1.713091514E0,3.202878447E0,3.702542746E0
1.110901542E0,1.682459925E-1,-1.411181059E0,3.560625719E0,3.833770234E0
1.120868542E0,-2.846176073E-2,-1.164205779E0,4.195435703E0,4.354063149E0
1.130835542E0,-1.444922271E-1,-1.287578668E0,4.742389517E0,4.916197226E0
1.140801542E0,-6.440800135E-1,-7.394150640E-1,5.829640092E0,5.911537643E0
1.150768542E0,-1.763810409E-1,3.322222750E-1,7.214106392E0,7.223905657E0
1.160735542E0,1.987274180E-1,8.786653353E-1,7.909033939E0,7.960173566E0
1.170701542E0,1.294541678E0,1.903117544E0,8.957110507E0,9.248109168E0
1.180668542E0,2.083639803E0,2.077973266E0,8.356538309E0,8.859529346E0
1.190635542E0,2.748511784E0,1.457110353E0,7.868944259E0,8.461546629E0
1.200601542E0,3.270948223E0,9.641162525E-1,9.514058967E0,1.010672749E1
1.210568542E0,3.342730105E0,7.358848076E-1,1.062435342E1,1.116209015E1
1.220536292E0,2.994545954E0,-6.780197382E-2,1.126757287E1,1.165890651E1
1.230503292E0,2.475512887E0,9.710529506E-1,1.098085582E1,1.129824333E1
1.240469292E0,-7.953426585E-1,4.140910709E0,5.442128738E0,6.884509906E0
1.250436292E0,-1.428896076E0,3.045463216E0,7.146621922E0,7.898784406E0
1.260403292E0,-1.582929424E0,2.572417330E0,6.461824091E0,7.132893316E0
1.270369292E0,-1.999315059E0,2.929675482E0,3.595837651E0,5.050772966E0
1.280336292E0,-1.838114486E0,2.266383711E0,1.579991344E0,3.318362945E0
1.290303292E0,-1.579748392E0,1.308076374E0,-8.678197736E-1,2.227056341E0
1.300270292E0,-5.517021192E-1,-5.376969413E-1,-3.209168297E0,3.300341556E0
1.310236292E0,1.613068458E-1,-2.940395767E0,-5.820357052E0,6.522921384E0
1.320203292E0,4.837854668E-1,-5.022745382E0,-7.093847292E0,8.705440193E0
1.330170292E0,1.543966941E0,-5.367284963E0,-7.195185971E0,9.108363352E0
1.340136292E0,2.254601571E0,-4.434332469E0,-7.986903648E0,9.409418823E0
1.350103292E0,1.884177390E0,-3.976724694E0,-9.764584091E0,1.071034856E1
1.360070292E0,1.882470149E0,-3.444935634E0,-1.012663959E1,1.086094401E1
1.370036292E0,1.993423697E0,-2.903931946E0,-9.849789133E0,1.046063596E1
1.380003292E0,2.594194992E0,-2.030579244E0,-1.025060992E1,1.076699138E1
1.389970292E0,2.942007844E0,-1.084926818E0,-1.116944489E1,1.160124888E1
1.399937292E0,3.287050286E0,-7.781015584E-1,-1.201838459E1,1.248405823E1
1.409903292E0,3.011123103E0,-3.901452318E-1,-1.353212582E1,1.386857977E1
1.419870292E0,2.103270952E0,1.416729189E-1,-1.427785046E1,1.443263087E1
1.429837292E0,2.084890084E0,7.772496922E-1,-1.360198367E1,1.378277343E1
1.439803292E0,2.064730346E0,7.706220925E-1,-1.187381686E1,1.207660949E1
1.449770292E0,2.087468998E0,-6.650225472E-1,-1.091065298E1,1.112843790E1
1.459737292E0,2.782539363E0,-2.530800065E0,-1.170583571E1,1.229528625E1
1.469704292E0,3.281307151E0,-3.897394935E0,-1.208156142E1,1.311185686E1
1.479670292E0,2.945160371E0,-4.864063058E0,-1.182868338E1,1.312443635E1
1.489637292E0,3.608753859E0,-4.585851953E0,-1.124373026E1,1.266785746E1
1.499604292E0,3.615528443E0,-3.504976306E0,-9.987906214E0,1.118548950E1
1.509570292E0,3.140980699E0,-2.877980833E0,-9.140010243E0,1.008406271E1
1.519537292E0,2.772162310E0,-2.445715768E0,-6.470954518E0,7.452493668E0
1.529504292E0,3.494026810E0,-1.119270366E0,-4.854190620E0,6.084747823E0
1.539471292E0,2.935318922E0,-3.567839429E-1,-9.844044828E-1,3.116479447E0
1.549437292E0,1.916446419E0,3.645861751E-1,7.080395772E0,7.344228635E0
1.559404292E0,7.939422503E-1,-1.750874175E-1,1.544643054E1,1.546781227E1
1.569371292E0,-2.551100720E-1,-8.629211225E-1,2.642435340E1,2.643967032E1
1.579337292E0,-4.685427989E0,7.758103269E-1,3.290177260E1,3.324277000E1
1.589304292E0,-8.249635420E0,7.322009155E0,3.023732039E1,3.218639226E1
1.599271292E0,-9.500853031E0,1.238756610E1,2.501668535E1,2.948817641E1
1.609238292E0,-9.883083179E0,9.086149201E0,2.467551435E1,2.809118098E1
1.619204292E0,-7.659564822E0,5.501140008E0,2.751278920E1,2.908410295E1
1.629171292E0,-7.469603988E0,1.600913559E0,2.721323869E1,2.826514227E1
1.639138292E0,-6.987467728E0,-2.592181796E-1,2.361932477E1,2.463258821E1
1.649104292E0,-5.476671749E0,-8.215428624E-1,1.703482434E1,1.791240091E1
1.659071292E0,-4.295070796E0,-1.009489623E0,1.022582825E1,1.113706720E1
1.669038292E0,-2.095819407E0,-4.110937589E-1,5.950857550E0,6.322512368E0
1.679005292E0,-2.807889967E-1,3.133843003E-1,1.666243622E0,1.718551713E0
1.688971292E0,5.853242670E-1,-3.769096206E-1,-2.124129140E0,2.235305340E0
