"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.011000020E-1,-3.667209744E-1,-7.304618359E-1,1.316538811E0,1.549623569E0
4.060482310E-1,1.260360479E-1,-7.684659958E-1,1.272007942E0,1.491452070E0
4.109964600E-1,4.191048145E-1,-4.901130199E-1,1.160720825E0,1.327829979E0
4.159446890E-1,7.409728765E-1,3.496360779E-1,1.427523613E0,1.645937379E0
4.208929190E-1,9.511750340E-1,5.672695637E-1,1.178176880E0,1.616981590E0
4.258411480E-1,7.956727147E-1,-2.828621864E-2,6.755113602E-1,1.044131590E0
4.307893770E-1,5.485686064E-1,-7.151153088E-1,2.911128998E-1,9.471347006E-1
4.357376060E-1,3.217068911E-1,-1.061055660E0,-2.184772491E-2,1.108968783E0
4.406858350E-1,2.212984562E-1,-1.121281624E0,-4.011554718E-1,1.211268426E0
4.456340640E-1,3.822234273E-1,-8.536806107E-1,-4.913883209E-1,1.056564156E0
4.505822940E-1,7.445195913E-1,-4.660391808E-1,-6.056270599E-1,1.066904905E0
4.555305230E-1,1.045592546E0,-7.623767853E-2,-6.533899307E-1,1.235311442E0
4.604787520E-1,1.244040728E0,2.123179436E-1,-5.454378128E-1,1.374852228E0
4.654269810E-1,1.227126122E0,7.191610336E-2,-8.067407608E-1,1.470320067E0
4.703752100E-1,9.668651223E-1,2.709698677E-2,-2.084608078E-1,9.894535461E-1
4.753234390E-1,9.150794148E-1,4.256033897E-2,-7.491693497E-1,1.183400369E0
4.802716690E-1,6.846240163E-1,9.040641785E-2,-6.114473343E-1,9.223617548E-1
4.852198980E-1,5.314861536E-1,9.682869911E-2,-9.913101196E-1,1.128959291E0
4.901681270E-1,3.184635639E-1,1.109459400E-1,-1.328641891E0,1.370772526E0
4.951163560E-1,2.226933241E-1,2.643680573E-1,-1.287039757E0,1.332649287E0
5.000645850E-1,9.814950824E-2,4.998168945E-1,-1.128148079E0,1.237807878E0
5.050128140E-1,-5.423489213E-2,9.279670715E-1,-6.650257111E-1,1.142945102E0
5.099610440E-1,-6.870064884E-2,1.426196337E0,-3.169527054E-1,1.462605479E0
5.149092730E-1,-6.466978043E-2,1.884887457E0,1.171875000E-1,1.889633778E0
5.198575020E-1,-1.426702291E-1,1.961723566E0,3.905105591E-1,2.005296148E0
5.248057310E-1,-4.116708040E-1,1.682393551E0,5.145664215E-1,1.806847950E0
5.297538560E-1,-4.820387661E-1,1.010361433E0,7.903356552E-1,1.370336472E0
5.347021370E-1,-3.068804145E-1,3.193066120E-1,1.247900963E0,1.324156001E0
5.396503660E-1,5.306285620E-1,-3.276153803E-1,1.405548096E0,1.537681358E0
5.445985960E-1,1.557603598E0,-7.405872345E-1,1.277679443E0,2.146407040E0
5.495468250E-1,1.078080058E0,-1.414793730E0,1.737625122E0,2.486611947E0
5.544950540E-1,4.005677104E-1,-2.030303955E0,1.546043396E0,2.583183854E0
5.594432830E-1,-2.333873510E-1,-2.368267298E0,1.204726219E0,2.667306678E0
5.643915120E-1,-7.329789400E-1,-2.596930027E0,1.031192780E0,2.888712904E0
5.693397410E-1,-1.047766209E0,-2.776162863E0,5.565004349E-1,3.019037430E0
5.742879710E-1,-1.049353004E0,-2.864151478E0,-1.926956177E-1,3.056409170E0
5.792362000E-1,-5.533223152E-1,-2.988133192E0,-6.655693054E-1,3.110962561E0
5.841844290E-1,6.415138841E-1,-3.178776979E0,1.971297264E0,3.795019901E0
5.891326580E-1,1.680841923E0,-2.656980038E0,3.193846703E0,4.481677058E0
5.940808870E-1,1.831249118E0,-1.345820904E0,5.941476822E-1,2.348982483E0
5.990291160E-1,1.040547371E0,-9.237909317E-1,-2.381124973E0,2.757876838E0
6.039773460E-1,2.999111414E-1,-1.219337940E0,-4.186050892E0,4.370326507E0
6.089255750E-1,-6.675951481E-1,-1.865571260E0,-5.202700138E0,5.567237029E0
6.138738040E-1,-1.101394653E0,-2.164446831E0,-5.450436592E0,5.967005892E0
6.188220330E-1,-8.559448719E-1,-1.987992525E0,-4.794395924E0,5.260322060E0
6.237702620E-1,-2.799117565E-1,-1.462209225E0,-3.896660805E0,4.171375293E0
6.287184910E-1,8.917307854E-2,-9.798753262E-1,-3.557143688E0,3.690715203E0
6.336667210E-1,-1.481056213E-2,-7.162175179E-1,-3.782859802E0,3.850092878E0
6.386149500E-1,-2.319724560E-1,-6.891694069E-1,-4.080316067E0,4.144604311E0
6.435631790E-1,-4.123926163E-1,-7.171454430E-1,-4.125274181E0,4.207404464E0
6.485114080E-1,-4.095849991E-1,-7.523090839E-1,-3.937403202E0,4.029500317E0
6.534596370E-1,-2.216868401E-1,-5.227859020E-1,-3.438765049E0,3.485334305E0
6.584078660E-1,1.555218697E-1,-2.749919891E-1,-2.734570980E0,2.752759723E0
6.633560960E-1,7.079373598E-1,1.325125694E-1,-2.127411842E0,2.246022269E0
6.683043250E-1,1.224694729E0,5.160605907E-1,-1.721251011E0,2.174603586E0
6.732524500E-1,1.629527211E0,7.328457832E-1,-1.060665607E0,2.077843451E0
6.782007310E-1,1.960258365E0,8.502924442E-1,-5.570507050E-1,2.208147546E0
6.831490120E-1,2.130210161E0,9.321997166E-1,-3.702402115E-1,2.354542303E0
6.880971370E-1,2.284332752E0,1.103124380E0,-2.023496628E-1,2.544799581E0
6.930454190E-1,2.383352757E0,1.249274015E0,1.684761047E-1,2.696189928E0
6.979936480E-1,2.369386435E0,1.347622633E0,6.774501801E-1,2.808739501E0
7.029418770E-1,2.267345190E0,1.314866304E0,1.014668465E0,2.810565726E0
7.078901060E-1,2.117610693E0,1.324406147E0,1.100710869E0,2.729448865E0
7.128383350E-1,1.945966244E0,1.356792688E0,1.060750961E0,2.598627257E0
7.177865640E-1,1.620406747E0,1.110917091E0,9.400739670E-1,2.177979309E0
7.227347940E-1,1.187471509E0,6.462733746E-1,7.600088120E-1,1.550925934E0
7.276830230E-1,7.223963737E-1,1.173036098E-1,4.917955399E-1,8.817479859E-1
7.326312520E-1,3.052672148E-1,-3.177733421E-1,1.140785217E-1,4.551723613E-1
7.375794810E-1,7.856130600E-3,-5.612490177E-1,-2.161149979E-1,6.014714216E-1
7.425277100E-1,-1.553630829E-1,-6.185760498E-1,-4.496507645E-1,7.803587809E-1
7.474759390E-1,-2.571592331E-1,-5.762226582E-1,-5.018129349E-1,8.062131508E-1
7.524241690E-1,-2.482992411E-1,-5.043125153E-1,-4.378461838E-1,7.125257236E-1
7.573723980E-1,-1.366171837E-1,-4.579348564E-1,-3.987264633E-1,6.223755941E-1
7.623206270E-1,3.073287010E-2,-4.627413750E-1,-4.199199677E-1,6.256251822E-1
7.672688560E-1,3.129416704E-1,-5.381846428E-1,-4.480371475E-1,7.670153091E-1
7.722170850E-1,5.812895894E-1,-6.444721222E-1,-5.449714661E-1,1.024810130E0
7.771653140E-1,7.902792692E-1,-7.561337948E-1,-6.858682632E-1,1.291005389E0
7.821135440E-1,9.777070284E-1,-8.278791904E-1,-8.321695328E-1,1.527678343E0
7.870617730E-1,1.142936707E0,-8.986990452E-1,-9.881038666E-1,1.757928764E0
7.920100020E-1,1.312716961E0,-1.030676842E0,-1.138802528E0,2.020492952E0
7.969582310E-1,1.504136086E0,-1.199992180E0,-1.224160671E0,2.280564830E0
8.019064600E-1,1.743100643E0,-1.423178315E0,-1.279670715E0,2.588704987E0
8.068545850E-1,2.089029551E0,-1.662624478E0,-1.302471638E0,2.970655986E0
8.118029190E-1,2.458177805E0,-1.880424261E0,-1.421101093E0,3.405607411E0
8.167510440E-1,2.698578358E0,-2.116568565E0,-1.618432522E0,3.792296332E0
8.216993770E-1,2.835558414E0,-2.456588984E0,-1.732045174E0,4.132215077E0
8.266475020E-1,2.898047686E0,-2.782981873E0,-1.709243298E0,4.366369332E0
8.315957830E-1,2.726944447E0,-3.135087013E0,-1.487919807E0,4.413490903E0
8.365440120E-1,2.800482035E0,-3.301752806E0,-1.743248463E0,4.667246128E0
8.414922410E-1,2.985324144E0,-3.380548239E0,-2.085317612E0,4.968784176E0
8.464404710E-1,3.150539637E0,-3.494909525E0,-2.344465733E0,5.257072585E0
8.513887000E-1,3.358268261E0,-3.650322676E0,-2.413423538E0,5.516106827E0
8.563369290E-1,3.616200924E0,-3.720768452E0,-2.523226738E0,5.769549390E0
8.612851580E-1,3.923172474E0,-3.747046232E0,-2.763795376E0,6.088530414E0
8.662333870E-1,4.104465485E0,-3.798899174E0,-3.122706413E0,6.405432631E0
8.711816160E-1,4.267447948E0,-4.201325417E0,-3.146835804E0,6.764970275E0
8.761298460E-1,4.691330910E0,-4.413164139E0,-2.933740616E0,7.077530461E0
8.810780750E-1,5.185399055E0,-4.161617756E0,-2.809628010E0,7.218132394E0
8.860263040E-1,5.430746078E0,-3.862473965E0,-2.689261913E0,7.186364709E0
8.909745330E-1,5.332859039E0,-3.911225796E0,-2.468019009E0,7.058908597E0
8.959227620E-1,5.041820526E0,-4.199450493E0,-2.227999210E0,6.929597329E0
9.008709910E-1,4.658937931E0,-4.535031319E0,-2.206244469E0,6.865837630E0
9.058192210E-1,4.173597336E0,-4.770721912E0,-2.333363533E0,6.754501289E0
9.107674500E-1,3.534162521E0,-4.927877426E0,-2.508748055E0,6.562628852E0
9.157156790E-1,2.971262455E0,-4.971500874E0,-2.533680916E0,6.321689687E0
9.206639080E-1,2.731993914E0,-4.866184711E0,-2.443082809E0,6.091978168E0
9.256121370E-1,2.929172039E0,-4.806094170E0,-2.197089672E0,6.042002402E0
9.305603660E-1,3.286642075E0,-4.846075058E0,-1.713063240E0,6.100905282E0
