"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.066192890E-1,2.882863283E0,1.321265697E-1,-2.996119022E0,4.159938381E0
4.115672570E-1,2.442125082E0,-1.830074191E-1,-2.561179161E0,3.543600616E0
4.165151220E-1,1.810378194E0,-7.989840508E-1,-2.263087273E0,3.006228322E0
4.214631430E-1,8.210386038E-1,-1.504974723E0,-1.637781143E0,2.370945039E0
4.264110070E-1,-9.091567993E-2,-2.038064957E0,-3.796920776E-1,2.075124214E0
4.313590280E-1,-5.554378033E-1,-2.279601574E0,1.274151802E0,2.669935824E0
4.363069970E-1,-4.710838795E-1,-2.206042290E0,2.826652527E0,3.616421866E0
4.412548610E-1,7.046437263E-2,-2.040936708E0,3.697995186E0,4.224400108E0
4.462028820E-1,8.549532890E-1,-2.214032173E0,3.872671604E0,4.542077602E0
4.511507470E-1,1.485967278E0,-2.827150345E0,3.844933033E0,4.998438542E0
4.560987680E-1,1.797020316E0,-3.538507223E0,3.614261627E0,5.367793075E0
4.610467360E-1,1.705365419E0,-4.040443897E0,2.943208694E0,5.281660300E0
4.659947050E-1,1.240556240E0,-4.479339600E0,2.107062817E0,5.103251586E0
4.709425700E-1,7.327861786E-1,-5.019846916E0,1.311056137E0,5.239723928E0
4.758905910E-1,3.357892036E-1,-5.543062210E0,6.836047173E-1,5.595141505E0
4.808384550E-1,3.646769524E-1,-5.261650085E0,5.989575386E-1,5.308173041E0
4.857864760E-1,6.182017326E-1,-4.492479801E0,5.835371017E-1,4.572205561E0
4.907344450E-1,1.045243740E0,-3.940592289E0,3.357820511E-1,4.090666407E0
4.956823090E-1,1.774945736E0,-3.700427055E0,-7.389163971E-2,4.104759765E0
5.006303300E-1,2.448922157E0,-3.686855078E0,-4.934225082E-1,4.453491425E0
5.055781950E-1,3.716571093E0,-3.957225323E0,-2.001702785E0,5.786134027E0
5.105262160E-1,5.602183819E0,-4.063930511E0,-5.362953663E0,8.755641994E0
5.154741840E-1,6.048802853E0,-4.011091709E0,-5.846710205E0,9.319919145E0
5.204220490E-1,6.524349689E0,-4.260797977E0,-5.192842484E0,9.364141783E0
5.253700700E-1,6.887663841E0,-4.319904327E0,-4.446544170E0,9.266781623E0
5.303180390E-1,6.650858879E0,-4.240868568E0,-3.615833521E0,8.677162099E0
5.352659030E-1,5.971451283E0,-4.154307365E0,-2.885718346E0,7.825846311E0
5.402139240E-1,4.903042793E0,-4.162928581E0,-2.215238333E0,6.802726209E0
5.451617890E-1,3.660790920E0,-4.323579788E0,-1.660039663E0,5.903428159E0
5.501098090E-1,2.391699314E0,-4.563802242E0,-1.158482313E0,5.281154967E0
5.550577780E-1,1.237088203E0,-4.844619751E0,-6.557958126E-1,5.042895587E0
5.600056430E-1,5.453395844E-2,-5.088680267E0,-1.047832966E-1,5.090051115E0
5.649536640E-1,-1.271731377E0,-5.334085941E0,2.925491333E-1,5.491389489E0
5.699015280E-1,-2.771555424E0,-5.622158527E0,2.781515121E-1,6.274356878E0
5.748495490E-1,-4.234516144E0,-5.770675659E0,-7.803773880E-2,7.158066389E0
5.797975180E-1,-5.460830212E0,-5.563264847E0,-5.793261528E-1,7.817045551E0
5.847453820E-1,-6.451168537E0,-5.129020691E0,-1.019166708E0,8.304404224E0
5.896934030E-1,-7.198882103E0,-4.672027111E0,-1.381947398E0,8.692612925E0
5.946413720E-1,-7.510330200E0,-4.208264828E0,-1.747074842E0,8.784464872E0
5.995892360E-1,-7.404913425E0,-3.760274410E0,-2.040979624E0,8.552076023E0
6.045372570E-1,-7.070514679E0,-3.372188330E0,-2.338189125E0,8.175020510E0
6.094852260E-1,-6.783241272E0,-3.047509909E0,-2.687242508E0,7.907019103E0
6.144330910E-1,-6.652925014E0,-2.868722439E0,-3.010118008E0,7.845494892E0
6.193811110E-1,-6.646022797E0,-2.773405075E0,-3.303283691E0,7.922946287E0
6.243289760E-1,-6.746327400E0,-2.651775122E0,-3.535418510E0,8.064987832E0
6.292769970E-1,-6.964095116E0,-2.481155634E0,-3.740900993E0,8.285474899E0
6.342249660E-1,-7.367180824E0,-2.248060703E0,-3.867459774E0,8.618954422E0
6.391728300E-1,-7.961284637E0,-2.027941465E0,-4.090611458E0,9.177565133E0
6.441208510E-1,-8.600403786E0,-1.880627155E0,-4.447134495E0,9.863098346E0
6.490687160E-1,-9.132140160E0,-1.785257578E0,-4.830558777E0,1.048415121E1
6.540167360E-1,-9.533820152E0,-1.669929981E0,-5.203303337E0,1.098893800E1
6.589647050E-1,-9.908667564E0,-1.539760351E0,-5.649384499E0,1.150947870E1
6.639125700E-1,-1.025196362E1,-1.469527483E0,-6.043686390E0,1.199118068E1
