"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.089660000E-1,-1.846028985E0,-2.616449203E-1,-1.481284497E0,2.381277984E0
6.189330000E-1,-1.896045629E0,-2.770264596E-1,-1.743666605E0,2.590773228E0
6.289010000E-1,-2.099470262E0,-1.466231717E-1,-1.792995470E0,2.764797731E0
6.388680000E-1,-2.035665445E0,-2.568066417E-1,-1.749287533E0,2.696273415E0
6.488360000E-1,-1.933042132E0,-4.325246814E-1,-1.562537405E0,2.522945229E0
6.588030000E-1,-2.026783817E0,-5.345349133E-2,-1.239535459E0,2.376374985E0
6.687710000E-1,-2.173257592E0,2.412020311E-2,-9.818410635E-1,2.384877821E0
6.787380000E-1,-2.259367490E0,-4.870775954E-1,-1.051818786E0,2.539352043E0
6.887050000E-1,-2.128374657E0,-6.418576330E-1,-1.264825251E0,2.557683095E0
6.986730000E-1,-1.956234821E0,-6.438538724E-1,-1.568669965E0,2.588846837E0
7.086400000E-1,-1.778145735E0,-4.532938452E-1,-1.763646541E0,2.545137852E0
7.186080000E-1,-1.517771122E0,-2.600533082E-1,-1.749011545E0,2.330300042E0
7.285750000E-1,-1.522460736E0,-2.203514448E-1,-2.009858174E0,2.531002041E0
7.385430000E-1,-1.171308465E0,-2.022497807E-1,-2.187186098E0,2.489307438E0
7.485100000E-1,-6.585071410E-1,7.292866632E-2,-1.840673667E0,1.956279579E0
7.584780000E-1,-5.460062002E-1,4.690754803E-1,-2.096530867E0,2.216663315E0
7.684450000E-1,-6.552269261E-1,6.613936190E-1,-2.778254231E0,2.930095633E0
7.784130000E-1,-5.684395547E-1,7.124591075E-1,-3.302628438E0,3.426087580E0
7.883800000E-1,-5.421851910E-1,8.049002248E-1,-3.661193735E0,3.787633657E0
7.983480000E-1,-8.293238984E-1,8.673167668E-1,-4.104679899E0,4.276495478E0
8.083150000E-1,-1.145805615E0,6.884114099E-1,-4.422019987E0,4.619636516E0
8.182830000E-1,-1.262677569E0,3.090665701E-1,-4.430061078E0,4.616851518E0
8.282500000E-1,-1.432680686E0,-8.347645864E-2,-4.010873603E0,4.259888417E0
8.382180000E-1,-2.100546150E0,-1.895927223E0,-1.920536107E0,3.419838169E0
8.481850000E-1,-2.151211542E0,-4.891425104E0,1.588558100E0,5.574698870E0
8.581530000E-1,-1.118065693E0,-3.280646415E0,1.484955379E0,3.770650378E0
8.681200000E-1,-5.261599463E-1,-2.206682323E0,6.077449769E-1,2.348541062E0
8.780880000E-1,5.836578105E-1,-8.357603672E-1,3.488945872E-1,1.077441072E0
8.880550000E-1,1.060862967E0,2.998928735E-1,-3.134253770E-1,1.146124530E0
8.980230000E-1,1.686732704E0,3.043326643E-1,-8.170320278E-1,1.898743511E0
9.079900000E-1,2.150703858E0,-5.278720111E-3,-1.917457548E0,2.881353571E0
9.179580000E-1,2.868242003E0,-3.988362408E-1,-2.413927088E0,3.770003517E0
9.279250000E-1,4.054000912E0,-1.747710831E0,-2.063996959E0,4.873345872E0
9.378930000E-1,3.293762305E0,-1.213573529E0,-1.005303601E0,3.651337585E0
9.478600000E-1,4.067337826E-1,6.266123338E-1,6.961578012E-2,7.502811097E-1
9.578280000E-1,-3.203455860E0,1.677901655E-1,1.789853176E0,3.673398614E0
9.677950000E-1,-3.994818611E0,-5.251184110E-1,4.828002110E0,6.288396414E0
9.777620000E-1,-1.949661381E0,-8.095982433E-1,5.151556619E0,5.567330097E0
9.877300000E-1,-5.718834186E-1,-8.421371213E-1,4.896088843E0,5.000793091E0
9.976970000E-1,1.037906214E0,-1.161568539E0,2.509095785E0,2.953312113E0
1.007665000E0,1.447152545E0,-1.107868441E0,8.687032878E-1,2.018977061E0
1.017632000E0,1.433207813E0,-2.020459687E-1,7.185625774E-1,1.615932977E0
1.027600000E0,2.155390401E0,4.845827347E-1,2.618511808E-1,2.224655984E0
